body_type,body_type_name,local_body_code,local_body_name,assembly_constituency_no,assembly_constituency,mapped_wards_in_constituency,total_mapped_wards,dominant_share,split_constituencies,udf_wins,ldf_wins,nda_wins,oth_wins,ruling_front,ruling_front_count,second_front,second_front_count,third_front,third_front_count
G,Grama Panchayat,G02069,Adichanalloor Gramapanchayat,126,Chathannoor,17,21,0.8095,2,6,8,7,0,LDF,8,NDA,7,UDF,6
G,Grama Panchayat,G02070,Chirakkara Gramapanchayath,126,Chathannoor,17,17,1.0000,1,5,5,6,1,NDA,6,UDF,5,LDF,5
G,Grama Panchayat,G03001,Anikkadu Gramapanchayath,111,Thiruvalla,14,14,1.0000,1,9,2,2,1,UDF,9,LDF,2,NDA,2
G,Grama Panchayat,G03002,Kaviyoor Gramapanchayath,111,Thiruvalla,14,14,1.0000,1,4,5,5,0,LDF,5,NDA,5,UDF,4
G,Grama Panchayat,G03003,Kottanad Gramapanchayath,112,Ranni,14,14,1.0000,1,7,2,2,3,UDF,7,OTH,3,LDF,2
G,Grama Panchayat,G03004,Kallooppara Gramapanchayath,111,Thiruvalla,14,14,1.0000,1,9,2,2,1,UDF,9,LDF,2,NDA,2
G,Grama Panchayat,G03005,Kottangal Gramapanchayath,112,Ranni,13,14,0.9286,2,5,1,4,4,UDF,5,NDA,4,OTH,4
G,Grama Panchayat,G03006,Kunnanthanam Gramapanchayath,111,Thiruvalla,16,16,1.0000,1,5,9,1,1,LDF,9,UDF,5,NDA,1
G,Grama Panchayat,G03007,Mallappally Gramapanchayath,111,Thiruvalla,15,15,1.0000,1,8,2,3,2,UDF,8,NDA,3,LDF,2
G,Grama Panchayat,G03008,Kadapra Gramapanchayath,111,Thiruvalla,16,16,1.0000,1,10,5,0,1,UDF,10,LDF,5,OTH,1
G,Grama Panchayat,G03009,Kuttoor Gramapanchayath,111,Thiruvalla,11,15,0.7333,2,5,2,6,2,NDA,6,UDF,5,LDF,2
G,Grama Panchayat,G03010,Niranam Gramapanchayath,111,Thiruvalla,14,14,1.0000,1,6,6,0,2,UDF,6,LDF,6,OTH,2
G,Grama Panchayat,G03011,Nedumpram Gramapanchayath,111,Thiruvalla,14,14,1.0000,1,1,6,6,1,LDF,6,NDA,6,UDF,1
G,Grama Panchayat,G03012,Peringara Gramapanchayath,111,Thiruvalla,16,16,1.0000,1,8,3,4,1,UDF,8,NDA,4,LDF,3
G,Grama Panchayat,G03013,Ayiroor Gramapanchayath,112,Ranni,16,16,1.0000,1,5,2,6,3,NDA,6,UDF,5,OTH,3
G,Grama Panchayat,G03014,Eraviperoor Gramapanchayath,113,Aranmula,18,18,1.0000,1,8,6,3,1,UDF,8,LDF,6,NDA,3
G,Grama Panchayat,G03015,Koipram Gramapanchayath,113,Aranmula,18,18,1.0000,1,7,5,5,1,UDF,7,LDF,5,NDA,5
G,Grama Panchayat,G03016,Thottappuzhassery Gramapanchayath,113,Aranmula,14,14,1.0000,1,8,1,2,3,UDF,8,OTH,3,NDA,2
