year,district,district_id,constituency_id,constituency_number,constituency,candidate,party,alliance,votes,margin,round_status,is_winner,source_url
2026,Kollam,13,120,120,Pathanapuram,JYOTHI KUMAR CHAMAKKALA,INC,UDF,68275.0,8310.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kollam,13,121,121,Punalur,C. AJAYAPRASAD,CPI,LDF,71944.0,21529.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kollam,13,122,122,Chadayamangalam,M. M. NASEER,INC,UDF,68281.0,7486.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kollam,13,123,123,Kundara,P. C. VISHNUNADH,INC,UDF,87862.0,32564.0,20/20,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kollam,13,124,124,Kollam,ADV. BINDHU KRISHNA,INC,UDF,63416.0,16830.0,14/14,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kollam,13,125,125,Eravipuram,ADV.VISHNU MOHAN,RSP,UDF,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kollam,13,126,126,Chathannur,B.B.GOPAKUMAR,BJP,NDA,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,127,127,Varkala,ADV.V JOY,CPI(M),LDF,55365.0,2050.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,128,128,Attingal,O.S AMBIKA,CPI(M),LDF,59163.0,13375.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,129,129,Chirayinkeezhu,RAMYA HARIDAS,INC,UDF,56833.0,1422.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,130,130,Nedumangad,G R ANIL,CPI,LDF,69206.0,21583.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,131,131,Vamanapuram,MUHAMMED SUDHEERSHA S,INC,UDF,73590.0,12185.0,20/20,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,132,132,Kazhakkoottam,V. MURALEEDHARAN,BJP,NDA,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,133,133,Vattiyoorkavu,K. MURALEEDHARAN,INC,UDF,48338.0,5425.0,20/20,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,134,134,Thiruvananthapuram,C P JOHN,CMPKSC,UDF,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,135,135,Nemom,RAJEEV CHANDRASEKHAR,BJP,NDA,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,136,136,Aruvikkara,ADV. G. STEEPHEN,CPI(M),LDF,61907.0,2843.0,20/20,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,137,137,Parassala,C K HAREENDRAN,CPI(M),LDF,69149.0,15013.0,21/21,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,138,138,Kattakkada,M. R. BAIJU,INC,UDF,56846.0,7136.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,139,139,Kovalam,ADV. M.VINCENT,INC,UDF,79661.0,32709.0,21/21,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thiruvananthapuram,14,140,140,Neyyattinkara,N. SHAKTHAN,INC,UDF,58760.0,6966.0,18/18,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
