year,district_id,district,constituency_id,constituency_number,constituency,source_url
2021,11,Alappuzha,107,107,Haripad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/107.pdf
2021,11,Alappuzha,108,108,Kayamkulam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/108.pdf
2021,11,Alappuzha,109,109,Mavelikara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/109.pdf
2021,11,Alappuzha,110,110,Chengannur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/110.pdf
2021,12,Pathanamthitta,111,111,Thiruvalla,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/111.pdf
2021,12,Pathanamthitta,112,112,Ranni,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/112.pdf
2021,12,Pathanamthitta,113,113,Aranmula,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/113.pdf
2021,12,Pathanamthitta,114,114,Konni,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/114.pdf
2021,12,Pathanamthitta,115,115,Adoor,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/115.pdf
2021,13,Kollam,116,116,Karunagappally,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/116.pdf
2021,13,Kollam,117,117,Chavara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/117.pdf
2021,13,Kollam,118,118,Kunnathur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/118.pdf
2021,13,Kollam,119,119,Kottarakkara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/119.pdf
2021,13,Kollam,120,120,Pathanapuram,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/120.pdf
2021,13,Kollam,121,121,Punalur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/121.pdf
2021,13,Kollam,122,122,Chadayamangalam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/122.pdf
2021,13,Kollam,123,123,Kundara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/123.pdf
2021,13,Kollam,124,124,Kollam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/124.pdf
2021,13,Kollam,125,125,Eravipuram,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/125.pdf
2021,13,Kollam,126,126,Chathannur,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/126.pdf
2021,14,Thiruvananthapuram,127,127,Varkala,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/127.pdf
2021,14,Thiruvananthapuram,128,128,Attingal,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/128.pdf
2021,14,Thiruvananthapuram,129,129,Chirayinkeezhu,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/129.pdf
2021,14,Thiruvananthapuram,130,130,Nedumangad,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/130.pdf
2021,14,Thiruvananthapuram,131,131,Vamanapuram,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/131.pdf
2021,14,Thiruvananthapuram,132,132,Kazhakkoottam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/132.pdf
2021,14,Thiruvananthapuram,133,133,Vattiyoorkavu,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/133.pdf
2021,14,Thiruvananthapuram,134,134,Thiruvananthapuram,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/134.pdf
2021,14,Thiruvananthapuram,135,135,Nemom,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/135.pdf
2021,14,Thiruvananthapuram,136,136,Aruvikkara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/136.pdf
2021,14,Thiruvananthapuram,137,137,Parassala,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/137.pdf
2021,14,Thiruvananthapuram,138,138,Kattakkada,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/138.pdf
2021,14,Thiruvananthapuram,139,139,Kovalam,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/139.pdf
2021,14,Thiruvananthapuram,140,140,Neyyattinkara,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2021/140.pdf
